Gender,Age,Education Level,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Self Lms,Device,Adaptivity Level,AgeCategory
1,13.0,2,0,0,1.0,2.0,1,1,0,0,1,0
1,23.0,0,1,1,1.0,2.0,1,1,1,0,2,1
0,18.0,1,0,1,1.0,2.0,0,0,0,0,2,1
1,16.575197889182057,0,1,1,1.0,2.0,0,0,0,1,1,0
1,23.0,0,1,1,1.0,2.0,0,0,1,1,1,1
1,18.0,1,0,0,1.0,2.0,1,1,0,0,2,1
0,23.0,0,1,0,1.0,2.0,1,1,1,0,2,1
0,18.0,1,0,1,1.0,2.0,0,0,0,1,2,1
0,18.0,2,0,1,1.0,2.0,0,0,0,0,1,1
0,18.0,0,1,1,1.0,2.0,0,0,1,1,2,1
0,23.0,0,0,1,1.0,2.0,1,0,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,0,1,1,3,1
1,23.0,0,1,0,1.0,2.0,1,1,0,0,1,1
1,23.0,0,1,0,1.0,2.0,1,1,1,0,3,1
1,18.0,1,0,1,1.0,2.0,1,0,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,0,0,1,1,1
0,23.0,0,0,1,1.0,2.0,1,0,0,0,2,1
0,13.0,2,1,1,1.0,2.0,1,1,0,0,2,0
0,18.0,1,0,0,1.0,2.0,1,1,0,0,2,1
1,23.0,0,0,0,1.0,2.0,1,1,0,0,1,1
1,23.0,0,0,1,1.0,2.0,0,0,0,1,2,1
1,23.0,0,1,1,1.0,2.0,0,1,0,1,2,1
0,23.0,0,0,1,1.0,2.0,0,0,0,0,1,1
0,23.0,0,0,0,1.0,2.0,1,2,0,0,1,1
1,18.0,1,0,0,1.0,2.0,0,0,0,0,1,1
1,13.0,2,0,1,1.0,2.0,1,0,0,0,3,0
1,8.0,2,0,1,1.0,2.0,0,0,0,0,2,0
1,23.0,0,1,1,1.0,2.0,0,0,0,1,1,1
1,23.0,0,1,1,1.0,2.0,1,1,0,1,1,1
1,16.575197889182057,0,1,1,1.0,2.0,0,0,0,1,3,0
1,23.0,0,1,1,1.0,2.0,1,1,1,1,2,1
1,23.0,0,1,1,1.0,2.0,0,1,1,0,1,1
1,18.0,0,0,0,1.0,2.0,1,0,0,0,2,1
1,8.0,2,0,0,1.0,2.0,1,1,0,0,1,0
0,18.0,1,0,0,1.0,2.0,1,0,0,0,1,1
1,18.0,1,1,1,1.0,2.0,1,0,1,0,1,1
1,23.0,0,1,1,1.0,2.0,0,1,1,1,2,1
0,16.575197889182057,0,0,1,1.0,2.0,0,0,0,0,1,0
1,13.0,2,0,1,1.0,2.0,1,0,0,0,2,0
0,13.0,2,0,1,1.0,2.0,0,1,0,0,2,0
1,3.0,2,0,1,1.0,2.0,0,0,0,0,1,0
0,3.0,2,0,1,1.0,2.0,0,0,0,0,2,0
0,23.0,0,0,1,1.0,2.0,0,0,0,1,2,1
1,13.0,2,1,1,1.0,2.0,1,0,0,0,2,0
1,13.0,2,0,1,1.0,2.0,0,0,0,0,3,0
0,23.0,0,1,1,1.0,2.0,0,1,1,0,1,1
0,18.0,2,0,0,1.0,2.0,1,0,0,0,3,1
0,18.0,1,0,0,1.0,2.0,1,1,0,0,1,1
1,18.0,2,0,1,1.0,2.0,1,0,0,0,2,1
1,23.0,0,1,1,1.0,2.0,0,1,0,0,1,1
1,13.0,2,0,1,1.0,2.0,1,0,0,0,2,0
0,23.0,0,0,0,1.0,2.0,0,0,0,0,1,1
0,18.0,2,0,1,1.0,2.0,0,0,0,0,1,1
1,23.0,0,1,0,1.0,2.0,0,0,1,1,2,1
1,23.0,0,1,0,1.0,2.0,1,1,1,0,2,1
0,16.575197889182057,0,0,1,1.0,2.0,1,0,0,0,1,0
0,23.0,0,0,1,1.0,2.0,0,2,0,0,2,1
1,23.0,0,1,1,1.0,2.0,0,0,0,0,1,1
0,13.0,2,0,1,1.0,2.0,0,0,0,0,2,0
0,18.0,1,0,0,1.0,2.0,0,0,0,0,2,1
1,23.0,0,1,1,1.0,2.0,1,1,1,0,2,1
1,18.0,1,0,1,1.0,2.0,0,0,0,0,2,1
1,16.575197889182057,0,1,1,1.0,2.0,0,0,0,0,3,0
1,23.0,0,1,1,1.0,2.0,1,1,1,0,1,1
0,18.0,0,0,1,1.0,2.0,0,0,1,0,1,1
1,23.0,0,0,1,1.0,2.0,1,0,1,0,3,1
1,23.0,0,0,0,1.0,2.0,1,0,1,0,1,1
1,13.0,2,0,1,1.0,2.0,1,1,0,0,1,0
0,23.0,0,1,1,1.0,2.0,0,0,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,0,1,1,3,1
1,23.0,0,0,0,1.0,2.0,1,0,1,0,2,1
1,23.0,1,1,0,1.0,2.0,1,0,0,0,1,1
1,13.0,2,0,1,1.0,2.0,1,0,0,0,2,0
0,23.0,0,0,1,1.0,2.0,1,0,1,0,2,1
0,3.0,2,0,1,1.0,2.0,1,0,1,0,1,0
1,23.0,0,0,1,1.0,2.0,0,0,0,2,3,1
0,18.0,1,0,0,1.0,2.0,1,0,0,0,2,1
1,23.0,0,0,1,1.0,2.0,0,0,0,1,3,1
1,23.0,0,0,0,1.0,2.0,1,0,0,0,2,1
0,18.0,2,0,1,1.0,2.0,0,0,0,1,1,1
1,18.0,1,1,1,1.0,2.0,0,0,1,2,2,1
1,13.0,2,0,1,1.0,2.0,1,1,0,0,2,0
1,13.0,2,0,1,1.0,2.0,1,1,0,0,2,0
0,23.0,0,0,1,1.0,2.0,0,0,0,0,1,1
1,23.0,0,0,1,1.0,2.0,1,0,0,0,1,1
1,23.0,0,1,0,1.0,2.0,1,1,0,0,2,1
1,13.0,2,0,1,1.0,2.0,0,0,0,0,2,0
0,23.0,1,0,0,1.0,2.0,1,1,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,1,0,0,1,1
1,23.0,0,0,1,1.0,2.0,1,0,0,0,1,1
0,16.575197889182057,0,0,0,1.0,2.0,1,0,0,0,1,0
1,18.0,2,0,1,1.0,2.0,0,0,0,0,2,1
0,23.0,0,1,1,1.0,2.0,0,1,1,1,1,1
1,23.0,0,1,0,1.0,2.0,1,1,1,0,2,1
1,13.0,2,0,1,1.0,2.0,1,0,0,0,2,0
1,18.0,1,1,0,1.0,2.0,0,0,0,0,1,1
1,18.0,1,1,1,1.0,2.0,1,0,0,0,2,1
0,18.0,1,0,1,1.0,2.0,1,1,0,0,1,1
0,18.0,1,0,1,1.0,2.0,0,1,0,0,2,1
1,16.575197889182057,0,1,1,1.0,2.0,0,1,1,0,2,0
1,23.0,1,1,1,1.0,2.0,1,0,0,0,2,1
1,23.0,0,0,0,1.0,2.0,1,0,0,0,2,1
1,18.0,1,0,1,1.0,2.0,0,1,1,0,2,1
1,16.575197889182057,0,1,1,1.0,2.0,1,1,1,1,2,0
0,18.0,1,0,1,1.0,2.0,0,0,0,0,3,1
1,23.0,0,1,1,1.0,2.0,1,1,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,0,0,0,1,1
0,16.575197889182057,0,0,1,1.0,2.0,0,0,0,0,1,0
1,23.0,0,1,1,1.0,2.0,0,0,1,1,3,1
1,18.0,1,0,0,1.0,2.0,1,1,0,0,1,1
1,18.0,0,0,1,1.0,2.0,0,1,1,1,2,1
1,13.0,2,0,1,1.0,2.0,0,0,0,1,1,0
0,23.0,0,0,1,1.0,2.0,0,0,0,2,2,1
1,18.0,1,0,1,1.0,2.0,0,0,0,0,2,1
1,23.0,1,0,1,1.0,2.0,1,0,0,0,1,1
0,13.0,2,0,1,1.0,2.0,1,0,0,0,2,0
0,23.0,0,1,1,1.0,2.0,0,0,0,1,3,1
1,3.0,2,0,0,1.0,2.0,1,0,0,0,1,0
0,23.0,0,0,1,1.0,2.0,1,0,0,0,1,1
0,13.0,2,0,1,1.0,2.0,0,1,0,0,3,0
1,23.0,0,1,0,1.0,2.0,1,1,1,1,2,1
1,13.0,2,0,0,1.0,2.0,1,1,0,0,1,0
1,23.0,0,0,1,1.0,2.0,1,1,1,0,1,1
1,23.0,0,0,0,1.0,2.0,0,0,0,0,2,1
1,13.0,2,0,1,1.0,2.0,0,0,0,0,1,0
1,16.575197889182057,0,0,1,1.0,2.0,0,0,1,0,2,0
1,23.0,0,0,0,1.0,2.0,1,0,0,0,1,1
1,18.0,1,0,1,1.0,2.0,1,0,0,0,1,1
1,18.0,2,0,0,1.0,2.0,0,0,0,0,2,1
0,23.0,0,0,1,1.0,2.0,0,0,0,1,2,1
1,18.0,1,0,1,1.0,2.0,1,1,0,0,1,1
1,23.0,0,1,1,1.0,2.0,0,1,1,0,2,1
1,18.0,1,0,0,1.0,2.0,1,2,0,0,1,1
1,23.0,0,0,0,1.0,2.0,1,0,0,0,2,1
0,18.0,1,0,0,1.0,2.0,1,0,0,0,1,1
1,8.0,2,0,1,1.0,2.0,0,0,0,0,3,0
1,23.0,0,1,1,1.0,2.0,0,1,0,1,2,1
1,16.575197889182057,0,1,0,1.0,2.0,1,1,0,0,2,0
1,13.0,2,0,1,1.0,2.0,1,0,0,0,1,0
0,23.0,0,1,0,1.0,2.0,0,2,1,2,1,1
0,23.0,0,0,1,1.0,2.0,0,0,0,2,2,1
1,23.0,0,0,0,1.0,2.0,0,0,0,0,1,1
0,8.0,2,0,1,1.0,2.0,1,1,0,0,1,0
0,13.0,2,1,1,1.0,2.0,1,0,0,0,2,0
1,16.575197889182057,0,0,1,1.0,2.0,0,0,0,0,2,0
0,23.0,0,0,1,1.0,2.0,0,1,1,0,1,1
0,13.0,2,0,0,1.0,2.0,1,1,0,0,1,0
1,18.0,1,1,0,1.0,2.0,1,0,0,0,1,1
0,18.0,0,1,0,1.0,2.0,1,1,1,0,2,1
0,23.0,0,0,0,1.0,2.0,0,0,0,0,2,1
0,23.0,0,1,0,1.0,2.0,0,0,1,1,2,1
1,23.0,0,0,1,1.0,2.0,1,1,1,0,2,1
0,18.0,0,1,0,1.0,2.0,1,1,1,0,2,1
1,13.0,2,0,1,1.0,2.0,0,0,0,0,3,0
0,18.0,2,0,1,1.0,2.0,1,0,0,0,1,1
0,18.0,1,0,0,1.0,2.0,1,1,0,0,2,1
1,23.0,0,0,1,1.0,2.0,0,0,0,0,1,1
1,23.0,0,0,0,1.0,2.0,1,1,0,0,1,1
0,23.0,0,1,1,1.0,2.0,0,0,0,1,2,1
1,18.0,1,1,1,1.0,2.0,0,0,0,0,2,1
1,23.0,0,0,1,1.0,2.0,1,0,0,0,2,1
1,13.0,2,0,1,1.0,2.0,1,1,0,0,3,0
1,13.0,2,0,0,1.0,2.0,1,1,0,0,1,0
0,18.0,2,0,1,1.0,2.0,1,0,0,0,1,1
0,13.0,2,0,1,1.0,2.0,0,0,0,0,1,0
0,18.0,1,0,1,1.0,2.0,0,0,0,1,2,1
1,18.0,0,0,1,1.0,2.0,0,0,1,1,1,1
1,8.0,2,0,1,1.0,2.0,1,1,0,0,1,0
1,8.0,2,0,0,1.0,2.0,1,2,0,0,1,0
0,8.0,2,0,1,1.0,2.0,0,1,0,0,3,0
1,13.0,2,0,1,1.0,2.0,0,0,0,0,1,0
1,18.0,1,0,1,1.0,2.0,1,0,0,0,2,1
0,23.0,0,1,1,1.0,2.0,0,1,1,0,2,1
1,23.0,0,1,0,1.0,2.0,1,1,0,1,1,1
1,18.0,1,0,1,1.0,2.0,1,1,0,0,2,1
0,18.0,1,0,0,1.0,2.0,1,1,1,0,1,1
1,23.0,0,1,0,1.0,2.0,1,1,1,0,2,1
1,23.0,0,1,1,1.0,2.0,1,0,0,1,2,1
